pair,s1,s2,trades,pnl,sharpe,max_dd,win_rate
FIL/USDT/GALA/USDT,FIL/USDT,GALA/USDT,69,-13.129236485578524,-0.24691910594675193,13.680308767513774,0.2896551724137931
DOT/USDT/FIL/USDT,DOT/USDT,FIL/USDT,66,-3.956862015977158,-0.18417795648878374,4.271842277944302,0.27972027972027974
DOT/USDT/GALA/USDT,DOT/USDT,GALA/USDT,65,-1.456443576192332,-0.03121895942375625,7.8905725157694215,0.24285714285714285
AAVE/USDT/XRP/USDT,AAVE/USDT,XRP/USDT,54,-69.86369418000574,-0.15078375139902575,85.3304598236111,0.2542372881355932
ATOM/USDT/FIL/USDT,ATOM/USDT,FIL/USDT,62,2.577857398247105,0.07180550538090559,2.725383312316894,0.31851851851851853
ETH/USDT/SOL/USDT,ETH/USDT,SOL/USDT,67,-1416.5031414150812,-0.13453257353434322,2562.974306276285,0.29577464788732394
ETH/USDT/LINK/USDT,ETH/USDT,LINK/USDT,60,-592.9670863246852,-0.05693832705268281,1200.059922011312,0.25384615384615383
FET/USDT/STX/USDT,FET/USDT,STX/USDT,63,-0.6109565287963279,-0.23342021364756052,0.8131022205393044,0.2785714285714286
IMX/USDT/STX/USDT,IMX/USDT,STX/USDT,50,-0.028016460327499406,-0.006368789059759521,0.3808128192615296,0.3018867924528302
ATOM/USDT/GALA/USDT,ATOM/USDT,GALA/USDT,64,4.659085195359242,0.06801230149461622,8.526101133893706,0.3161764705882353
